mounting_plane_id,roof_id,area,azimuth_angle,azimuth_vector_x,azimuth_vector_y,azimuth_vector_z,centroid_x,centroid_y,centroid_z,coordinate_system_xaxis_x,coordinate_system_xaxis_y,coordinate_system_xaxis_z,coordinate_system_yaxis_x,coordinate_system_yaxis_y,coordinate_system_yaxis_z,coordinate_system_zaxis_x,coordinate_system_zaxis_y,coordinate_system_zaxis_z,pitch_angle,roof_material_type
0,6,209.93849772688924,262.0,-0.9911414980316754,-0.13281013093708766,0.0,-265.651583304,-36.54527676000001,245.025598392,0.13281013093708743,-0.9911414980316754,0.0,0.8869982840473971,0.11885523760154566,0.4462146082230534,-0.4422618152378143,-0.059261820544145,0.8949259876706827,26.501071287053552,CompShingle
16,6,30.350018818210177,352.0,-0.1327974957050715,0.9911431910347068,0.0,-97.471131728,163.16470338399998,123.640423904,-0.991143191034707,-0.13279749570507132,0.0,0.11884567701690604,-0.8870128381097028,0.44618822270759634,-0.0592526785886655,0.44223641885651144,0.8949391431360215,26.499516340223806,CompShingle
6,6,23.99297146290531,172.0,0.13273521082842463,-0.9911515342299247,0.0,269.97756769439997,103.7838615888,178.40866712640002,0.9911515342299247,0.13273521082842443,0.0,-0.11878887315326084,0.8870123695172946,0.4462042805019836,0.05922701924497633,-0.44225605719950073,0.8949311370500566,26.5006614379024,CompShingle
14,6,79.47717512200975,352.0,-0.1328109236070061,0.9911413918158468,0.0,-235.490165016,119.3733634,236.61549313600003,-0.9911413918158468,-0.1328109236070059,0.0,0.1188559469824456,-0.8869981889920191,0.4462146082232004,-0.05926217424506165,0.4422617678429058,0.8949259876706094,26.501075267256628,CompShingle
8,6,36.2694104564608,82.0,0.9911400798648132,0.1328207140681455,0.0,295.3004031504,146.438981064,175.9110292512,-0.13282071406814527,0.9911400798648132,0.0,-0.8870097937456718,-0.11886642118923044,0.4461887489761767,0.4422355522950288,0.0592631082481883,0.8949388807550349,26.499495238105716,CompShingle
3,6,98.73950821217294,82.0,0.9911430804439958,0.13279832110379614,0.0,52.96752138,-59.617127892,193.076777832,-0.1327983211037959,0.9911430804439958,0.0,-0.8870093633042906,-0.11884596338743508,0.44619505420502953,0.44224314050364866,0.05925395408324524,0.8949357371358966,26.49990160491825,CompShingle
10,6,188.7179320243877,352.0,-0.12997166665259183,0.9915177082975106,0.0,186.59140079657143,140.16507760114283,192.0911197577143,-0.9915177082975106,-0.1299716666525916,0.0,0.11632987790611156,-0.8874482948372429,0.4459852951576083,-0.05796545211418246,0.4422023177890608,0.8950402876425066,26.486031817591265,CompShingle
17,6,203.5538888490343,172.0,0.13280703439975086,-0.9911419129539136,0.0,-52.1090567856,-97.7318928912,202.7259907392,0.9911419129539136,0.13280703439975064,0.0,-0.11885383490556564,0.8870088683377163,0.4461939414856329,0.05925769413584287,-0.4422415167125168,0.894936291912176,26.499812273413205,CompShingle
11,6,19.887705779634334,82.0,0.9911428394517694,0.13280011974197897,0.0,315.3468604848,25.4200795536,123.6960669504,-0.13280011974197875,0.9911428394517694,0.0,-0.8870293570364262,-0.11885028084775873,0.4461541555314184,0.4422024965466165,0.05924932527795389,0.8949561271381111,26.497171249956576,CompShingle
5,6,103.16981484618242,82.0,0.9911400752614428,0.13282074841959451,0.0,242.035440816,51.349411092,184.106305104,-0.1328207484195943,0.9911400752614428,0.0,-0.8870107019391263,-0.118866574188989,0.4461869027504411,0.44223372037274233,0.05926287835833443,0.8949398012235059,26.49932417946301,CompShingle
12,6,220.909811071058,352.0,-0.1328081824876446,0.991141759116388,0.0,-49.819742876571425,46.319180334857144,207.38920798628573,-0.9911417591163882,-0.1328081824876444,0.0,0.11885505217198453,-0.8870101471388661,0.4461910750405951,-0.05925782571834968,0.44223860701776774,0.8949377210477375,26.499689085753527,CompShingle
15,6,32.44501530480681,262.0,-0.9911514398311072,-0.13273591571508778,0.0,62.567915388,113.11023984,189.627958824,0.13273591571508758,-0.9911514398311074,0.0,0.8870304205746593,0.11879193270624694,0.4461675802868891,-0.4422196396073112,-0.05922246233176517,0.894949434493895,26.49796164547468,CompShingle
7,6,10.975506864593424,121.0,0.8497593537292504,-0.527170788976065,0.0,311.55315957600004,96.914045096,166.040687728,0.5271707889760652,0.8497593537292504,0.0,-0.7604819815317123,0.4717851994764742,0.4461904092655333,0.37915447381766926,-0.2352185500860645,0.8949380529843705,26.49952598964519,CompShingle
9,6,10.22548006168292,33.0,0.5500823277727571,0.8351104314233566,0.0,297.18964205599997,197.777565384,165.719165408,-0.8351104314233565,0.5500823277727573,0.0,-0.49228275366000906,-0.747361698485832,0.44621539875411176,0.24545520523471087,0.37263913416129146,0.8949255935074765,26.501125879369138,CompShingle
2,6,196.46685216384387,82.0,0.9911414181036312,0.13281072742637534,0.0,-149.00478542057144,-26.57733493371428,237.181109952,-0.13281072742637512,0.9911414181036312,0.0,-0.8869985751235948,-0.11885582000368558,0.4462138744816933,0.44226105233130114,0.05926198925765502,0.8949263535174478,26.501058685444267,CompShingle
4,6,182.72492842675535,172.0,0.1328574839243843,-0.9911351517150836,0.0,143.381238184,11.540682784000005,200.72310353599997,0.9911351517150836,0.13285748392438407,0.0,-0.11890213330969392,0.8870263116244466,0.4461463943374795,0.05927388741361369,-0.4421913742388153,0.8949599962119347,26.497377490753045,CompShingle
13,6,25.952938138016968,82.0,0.991144161064509,0.13279025562039895,0.0,157.097445972,-114.332680824,129.210634056,-0.13279025562039873,0.991144161064509,0.0,-0.8870026773179915,-0.11883771996450077,0.44621054082613715,0.4422589721452625,0.05925241177681922,0.8949280156837454,26.500671641671524,CompShingle
1,6,79.4781969498918,172.0,0.1327918156966955,-0.9911439520493353,0.0,-195.505911768,-179.024283944,236.61549313600003,0.9911439520493353,0.13279181569669526,0.0,-0.11883930296808676,0.8870038848750309,0.446207718766341,0.05925273315286288,-0.44225608181298953,0.8949294227554135,26.500634184922408,CompShingle
2,7,577.1226271402953,91.0,0.999897683624976,-0.014304624476276137,0.0,-228.92243957519523,-89.9618087768554,118.8381858825684,0.01430462447627636,0.999897683624976,0.0,-0.970195751293904,0.013879706011943651,0.24192469475495665,0.24189994189716052,-0.0034606419100073854,0.97029502836391,14.000131932048594,CompShingle
1,7,284.86082531147696,181.0,-0.014307724555487789,-0.9998976392701626,0.0,-604.1476318359378,97.47322998046872,115.0448791503906,0.9998976392701626,-0.014307724555488009,0.0,0.013882740228218756,0.9701975409830208,0.2419173433101791,-0.0034612867132774185,-0.24189258047435755,0.9702968612779004,13.99968740415028,CompShingle
