obstruction_ring_edge_id,site_model_obstruction_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z,obstruction_ring_winding_direction
0,1,0.0,0.0,,,-330.53581364987554,-189.62846104941912,163.26876067438448,None,-329.9457415368086,-190.1459404040472,163.26876067438448,
0,6,0.0,0.0,,,-98.28032131484991,-235.3121643152211,148.68109508953842,None,-97.74224462727577,-234.7100562239196,148.68109508953842,
0,2,0.0,0.0,,,-329.92164739011,108.99067042247565,164.15036611355706,None,-330.4391267447382,108.40059830940868,164.15036611355706,
0,7,0.0,0.0,,,-212.2886554641516,-222.41707740536975,134.40368768138097,None,-150.90675978842026,-223.29459465734243,134.40368768138097,
0,5,0.0,0.0,,,-328.56564010149884,-127.87028229949324,161.82464865809075,None,-327.8843681302148,-127.66164510330503,161.82464865809075,
0,6,0.0,0.0,,,-110.16875010982707,-227.84216940535416,148.68109508953842,None,-110.3922955438686,-228.61811277586563,148.68109508953842,
0,3,0.0,0.0,,,-322.1081326314939,75.12419928839205,159.09324721804813,None,-322.66538739852535,74.72737996516692,159.09324721804813,
0,4,0.0,0.0,,,-288.3086297451648,-128.94823663353796,147.6138201810369,None,-287.9160446924314,-129.46467343856716,147.6138201810369,
0,0,0.0,0.0,,,-508.05658358586,104.54931608376052,131.4611683064145,None,-508.38546791367133,105.02578729076912,131.4611683064145,
0,6,0.0,0.0,,,-105.75031622471684,-237.01714190712585,148.68109508953842,None,-104.9743728542054,-237.2406873411674,148.68109508953842,
0,2,0.0,0.0,,,-319.7303375347479,105.53118688867666,164.15036611355706,None,-319.88345174525637,106.30094400597147,164.15036611355706,
0,6,0.0,0.0,,,-109.00184920549644,-225.73082120345015,148.68109508953842,None,-109.46912786279763,-226.3893888398796,148.68109508953842,
0,3,0.0,0.0,,,-318.22162863406055,74.93906228490792,159.09324721804813,None,-318.8140801831328,75.2811143462466,159.09324721804813,
0,5,0.0,0.0,,,-329.27237245297584,-119.56677821721932,161.82464865809075,None,-329.98423378163807,-119.5970177153263,161.82464865809075,
0,1,0.0,0.0,,,-323.2931729627563,-180.1896679395932,163.26876067438448,None,-323.99707236856574,-179.8425431672321,163.26876067438448,
0,3,0.0,0.0,,,-323.5073279073624,73.65676551595062,159.09324721804813,None,-323.761583725524,73.02166518561287,159.09324721804813,
0,6,0.0,0.0,,,-100.24774235400024,-223.73275344048204,148.68109508953842,None,-100.9937776080554,-223.42373552024395,148.68109508953842,
0,6,0.0,0.0,,,-110.52755727817645,-229.41420632473628,148.68109508953842,None,-110.57283431796093,-230.2204387136849,148.68109508953842,
0,4,0.0,0.0,,,-287.4216194127492,-124.9185080675362,147.6138201810369,None,-287.9160446924314,-125.3384766854466,147.6138201810369,
0,2,0.0,0.0,,,-327.9751072971813,99.20475254028864,164.15036611355706,None,-327.2319209736059,98.95247477762194,164.15036611355706,
0,4,0.0,0.0,,,-284.3328328945626,-124.75103892866882,147.6138201810369,None,-284.93547320107433,-124.5109250844492,147.6138201810369,
0,2,0.0,0.0,,,-331.2222838980585,107.04413032954687,164.15036611355706,None,-331.47456166072516,106.30094400597147,164.15036611355706,
