polygon_exterior_ring_edge_id,mounting_plane_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z,polygon_exterior_ring_winding_direction
12,12,0.0,0.0,,,227.045288085938,-270.984252929688,118.110237121582,,74.5807189941406,-270.984252929688,118.110237121582,
34,2,0.0,0.0,,,-346.230316162109,268.511825561523,149.362197875977,,-156.435039520264,265.799209594727,102.035430908203,
17,0,0.0,0.0,,sharedconcave,-497.81298828125,270.677169799805,111.562995910645,,-404.832672119141,175.0,135.082672119141,
11,11,0.0,0.0,,,227.045288085938,-123.059051513672,118.110237121582,,227.045288085938,-197.023620605469,145.031494140625,
78,8,0.0,0.0,,sharedconvexpeak,-346.230316162109,268.511825561523,149.362197875977,,-354.529525756836,-312.10237121582,149.362197875977,
57,5,0.0,0.0,,wallup,-17.9350433349609,-156.031494140625,122.110237121582,,0.612213134765625,-156.17716217041,122.078742980957,
0,9,0.0,0.0,,,472.112182617188,303.803146362305,120.303146362305,,769.549194335938,304.074813842773,120.303146362305,
41,3,0.0,0.0,,wallup,-16.7066955566406,45.8700790405273,99.7007904052734,,-16.5295257568359,74.9724426269531,99.7007904052734,
39,3,0.0,0.0,,transition,-159.151573181152,75.8385848999023,99.7007904052734,,-157.856296539307,166.468505859375,99.7007904052734,
30,2,0.0,0.0,,sharedconcave,-232.033462524414,-143.708656311035,119.421257019043,,-300.572830200195,-200.846450805664,136.303146362305,
58,6,0.0,0.0,,sharedconvexpeak,-18.1830749511719,-156.027557373047,128.649612426758,,-16.3681030273438,75.4055099487305,128.649612426758,
1,9,0.0,0.0,,,472.155517578125,257.889755249023,135.574798583984,,472.112182617188,303.803146362305,120.303146362305,
16,0,0.0,0.0,,sharedconvexpeak,-404.832672119141,175.0,135.082672119141,,-767.706665039063,180.188980102539,135.082672119141,
63,6,0.0,0.0,,sharedconcave,73.0098571777344,-91.2598419189453,102.649604797363,,60.2224426269531,-102.724411010742,106.287399291992,
77,8,0.0,0.0,,,-354.529525756836,-312.10237121582,149.362197875977,,-544.324798583984,-309.389755249023,102.035430908203,
10,11,0.0,0.0,,sharedconvexpeak,227.045288085938,-197.023620605469,145.031494140625,,74.5807189941406,-197.023620605469,145.031494140625,
67,7,0.0,0.0,,transition,-17.9350433349609,-156.031494140625,126.673225402832,,-17.9389801025391,-156.362205505371,126.673225402832,
69,7,0.0,0.0,,transition,-17.0767669677734,-14.8149585723877,126.673225402832,,-18.1830749511719,-156.027557373047,126.673225402832,
61,6,0.0,0.0,,sharedconcave,60.2263793945313,-102.67716217041,106.287399291992,,59.5570831298828,-103.322830200195,106.480316162109,
31,2,0.0,0.0,,wallup,-230.694881439209,76.2716522216797,119.874015808105,,-232.033462524414,-143.708656311035,119.421257019043,
3,9,0.0,0.0,,,769.549194335938,304.074813842773,120.303146362305,,769.588562011719,258.161422729492,135.574798583984,
13,12,0.0,0.0,,,227.045288085938,-197.023620605469,145.031494140625,,227.045288085938,-270.984252929688,118.110237121582,
18,0,0.0,0.0,,wallup,-492.769683837891,270.606307983398,111.562995910645,,-497.81298828125,270.677169799805,111.562995910645,
71,7,0.0,0.0,,,-230.694881439209,76.2716522216797,126.673225402832,,-16.5295257568359,74.9724426269531,126.673225402832,
68,7,0.0,0.0,,sharedconvexpeak,-18.1830749511719,-156.027557373047,126.673225402832,,-17.9350433349609,-156.031494140625,126.673225402832,
9,11,0.0,0.0,,,74.5807189941406,-197.023620605469,145.031494140625,,74.5807189941406,-123.059051513672,118.110237121582,
6,10,0.0,0.0,,sharedconvexpeak,472.155517578125,257.889755249023,135.574798583984,,769.588562011719,258.161422729492,135.574798583984,
27,2,0.0,0.0,,,-164.631887435913,-307.393692016602,102.035430908203,,-164.738187789917,-314.818893432617,102.035430908203,
45,4,0.0,0.0,,,57.2539367675781,-310.563003540039,105.917320251465,,-180.206691741943,-307.169296264648,105.917320251465,
24,1,0.0,0.0,,,-539.297241210938,42.2637786865234,101.511810302734,,-769.631896972656,45.5590591430664,101.511810302734,
44,3,0.0,0.0,,wallup,1.06101989746094,75.2716522216797,99.7007904052734,,-16.3681030273438,75.4055099487305,99.7007904052734,
25,1,0.0,0.0,,wallup,-539.269683837891,44.3543319702148,102.035430908203,,-539.297241210938,42.2637786865234,101.511810302734,
65,6,0.0,0.0,,,-16.3681030273438,75.4055099487305,128.649612426758,,74.31298828125,74.6968536376953,102.649604797363,
73,8,0.0,0.0,,,-497.81298828125,270.677169799805,111.562995910645,,-346.230316162109,268.511825561523,149.362197875977,
56,5,0.0,0.0,,sharedconcave,0.612213134765625,-156.17716217041,122.078742980957,,59.5570831298828,-103.322830200195,106.480316162109,
49,5,0.0,0.0,,sharedconcave,-17.9389801025391,-156.362205505371,122.20866394043,,-17.9350433349609,-156.031494140625,122.110237121582,
32,2,0.0,0.0,,wallup,-159.151573181152,75.8385848999023,102.035430908203,,-230.694881439209,76.2716522216797,119.874015808105,
48,4,0.0,0.0,,sharedconcave,-180.206691741943,-307.169296264648,105.917320251465,,-300.572830200195,-200.846450805664,136.303146362305,
53,5,0.0,0.0,,sharedconvexpeak,58.75,-205.984252929688,136.303146362305,,-300.572830200195,-200.846450805664,136.303146362305,
75,8,0.0,0.0,,sharedconcave,-539.269683837891,44.3543319702148,102.035430908203,,-404.832672119141,175.0,135.082672119141,
35,2,0.0,0.0,,sharedconvexpeak,-354.529525756836,-312.10237121582,149.362197875977,,-346.230316162109,268.511825561523,149.362197875977,
62,6,0.0,0.0,,sharedconcave,60.2224426269531,-102.724411010742,106.287399291992,,60.2263793945313,-102.67716217041,106.287399291992,
14,12,0.0,0.0,,sharedconvexpeak,74.5807189941406,-197.023620605469,145.031494140625,,227.045288085938,-197.023620605469,145.031494140625,
23,1,0.0,0.0,,,-769.631896972656,45.5590591430664,101.511810302734,,-767.706665039063,180.188980102539,135.082672119141,
70,7,0.0,0.0,,transition,-16.5295257568359,74.9724426269531,126.673225402832,,-17.0767669677734,-14.8149585723877,126.673225402832,
4,10,0.0,0.0,,,769.631896972656,212.248031616211,120.303146362305,,472.198791503906,211.976379394531,120.303146362305,
33,2,0.0,0.0,,sharedconcave,-156.435039520264,265.799209594727,102.035430908203,,-159.151573181152,75.8385848999023,102.035430908203,
8,11,0.0,0.0,,,74.5807189941406,-123.059051513672,118.110237121582,,227.045288085938,-123.059051513672,118.110237121582,
59,6,0.0,0.0,,,0.612213134765625,-156.17716217041,123.259841918945,,-18.1830749511719,-156.027557373047,128.649612426758,
54,5,0.0,0.0,,,60.2263793945313,-102.67716217041,106.287399291992,,58.75,-205.984252929688,136.303146362305,
66,7,0.0,0.0,,transition,-17.9389801025391,-156.362205505371,126.673225402832,,-232.104328155518,-155.059051513672,126.673225402832,
43,3,0.0,0.0,,wallup,-16.3681030273438,75.4055099487305,99.7007904052734,,-16.6003875732422,45.8700790405273,99.7007904052734,
36,2,0.0,0.0,,,-164.738187789917,-314.818893432617,102.035430908203,,-354.529525756836,-312.10237121582,149.362197875977,
50,5,0.0,0.0,,sharedconcave,-232.104328155518,-155.059051513672,122.720474243164,,-17.9389801025391,-156.362205505371,122.20866394043,
51,5,0.0,0.0,,wallup,-232.033462524414,-143.708656311035,119.421257019043,,-232.104328155518,-155.059051513672,122.720474243164,
46,4,0.0,0.0,,,58.75,-205.984252929688,136.303146362305,,57.2539367675781,-310.563003540039,105.917320251465,
74,8,0.0,0.0,,sharedconcave,-404.832672119141,175.0,135.082672119141,,-497.81298828125,270.677169799805,111.562995910645,
19,0,0.0,0.0,,,-492.194885253906,310.905502319336,101.511810302734,,-492.769683837891,270.606307983398,111.562995910645,
52,5,0.0,0.0,,sharedconcave,-300.572830200195,-200.846450805664,136.303146362305,,-232.033462524414,-143.708656311035,119.421257019043,
60,6,0.0,0.0,,sharedconcave,59.5570831298828,-103.322830200195,106.480316162109,,0.612213134765625,-156.17716217041,123.259841918945,
15,12,0.0,0.0,,,74.5807189941406,-270.984252929688,118.110237121582,,74.5807189941406,-197.023620605469,145.031494140625,
21,0,0.0,0.0,,,-767.706665039063,180.188980102539,135.082672119141,,-765.781494140625,314.818893432617,101.511810302734,
52,2,0.0,0.0,,sharedconvex,-530.670011652,214.860546132,10.54936824,,-625.150265904,312.356605308,-21.450631752,
49,1,0.0,0.0,,sharedconvexpeak,-482.675933292,214.106594904,10.54936824,,-530.670011652,214.860546132,10.54936824,
4,6,0.0,0.0,,,56.7580316399998,-444.474586932,0.0,,248.73434508,-447.490391856,63.999999996,
36,14,0.0,0.0,,,424.222998708,389.194184184,-5.90843862,,425.165437752,449.186782128,-5.90843862,
35,13,0.0,0.0,,sharedconvex,341.175800616,450.50619678,-5.90843862,,382.510911852,407.851670892,8.091561372,
11,7,0.0,0.0,,sharedconcave,259.195418412,218.427445368,63.999999996,,454.187536776,407.387953884,0.0,
20,9,0.0,0.0,,sharedconcave,259.195418412,218.427445368,63.999999996,,448.155926928,23.435327016,0.0,
31,12,0.0,0.0,,,82.76654286,65.179763916,0.0,,-43.2179128320001,67.1588859000003,-10.5,
